City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
236,Maragheh,IR,37.3917,46.2398,40.51,31,100,4.52,overcast clouds
237,Preeceville,CA,51.95,-102.6677,-6.83,90,100,12.91,overcast clouds
238,Ilulissat,GL,69.2167,-51.1,30.22,64,75,13.8,broken clouds
239,Susanville,US,40.4163,-120.653,59.81,39,1,3.44,clear sky
240,Areosa,PT,41.7178,-8.8571,53.33,87,47,10.83,scattered clouds
241,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,20.71,scattered clouds
242,Alice Springs,AU,-23.7,133.8833,76.55,47,3,8.05,clear sky
243,Inhambane,MZ,-23.865,35.3833,77.05,85,0,9.69,clear sky
244,Timbauba,BR,-7.5053,-35.3183,78.08,82,21,9.69,few clouds
245,Mayo,US,38.8876,-76.5119,50.99,66,1,0.0,clear sky
246,San Joaquin,US,37.9333,-121.3011,66.45,71,90,3.44,overcast clouds
247,Mount Isa,AU,-20.7333,139.5,78.57,57,100,16.11,overcast clouds
248,Orbetello,IT,42.4408,11.2196,48.24,72,12,7.2,few clouds
249,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,63,75,6.71,broken clouds
250,Tabou,CI,4.423,-7.3528,80.42,81,17,7.94,few clouds
251,Sarangani,PH,5.4033,125.4636,81.99,77,61,10.45,light rain
